seed, cycle length, start, iteration/index
0,18014,30843,48857
1,18014,30843,48857
2,18014,154652,172666
3,18014,114905,132919
4,18014,149238,167252
5,18014,18033,36047
6,18014,37982,55996
7,18014,53199,71213
8,18014,83905,101919
9,18014,98873,116887
10,18014,75053,93067
11,18014,123354,141368
12,18014,103833,121847
13,18014,64430,82444
14,18014,69152,87166
15,18014,94293,112307
16,18014,115212,133226
17,18014,93038,111052
18,18014,144359,162373
19,18014,41237,59251
20,18014,69754,87768
21,18014,71007,89021
22,393,7177,7570
23,18014,32227,50241
24,18014,35217,53231
25,18014,29132,47146
26,18014,76426,94440
27,18014,121777,139791
28,18014,92594,110608
29,18014,78190,96204
30,18014,116095,134109
31,211,309,520
32,18014,82749,100763
33,18014,44935,62949
34,18014,29548,47562
35,18014,96084,114098
36,18014,103181,121195
37,18014,76346,94360
38,18014,43283,61297
39,18014,89547,107561
40,18014,32066,50080
41,18014,62371,80385
42,18014,97855,115869
43,18014,122388,140402
44,18014,80513,98527
45,18014,35824,53838
46,18014,125579,143593
47,18014,76556,94570
48,18014,77410,95424
49,18014,86414,104428
50,18014,66447,84461
51,18014,78273,96287
52,18014,45882,63896
53,18014,147468,165482
54,18014,83042,101056
55,18014,99497,117511
56,18014,82021,100035
57,18014,80919,98933
58,18014,80632,98646
59,18014,50086,68100
60,18014,102749,120763
61,18014,154582,172596
62,18014,119103,137117
63,18014,76059,94073
64,18014,44481,62495
65,18014,71873,89887
66,18014,84144,102158
67,18014,103615,121629
68,18014,89985,107999
69,18014,94326,112340
70,18014,71478,89492
71,18014,28213,46227
72,18014,127705,145719
73,18014,76824,94838
74,18014,93712,111726
75,18014,38364,56378
76,18014,104367,122381
77,18014,51696,69710
78,18014,97688,115702
79,18014,76836,94850
80,18014,76482,94496
81,18014,37383,55397
82,18014,27758,45772
83,18014,103640,121654
84,18014,143211,161225
85,18014,27650,45664
86,18014,147311,165325
87,18014,141305,159319
88,18014,85321,103335
89,18014,66592,84606
90,18014,127035,145049
91,18014,45231,63245
92,18014,91835,109849
93,18014,63326,81340
94,18014,115797,133811
95,18014,30734,48748
96,18014,44289,62303
97,18014,46310,64324
98,18014,83608,101622
99,18014,48739,66753
100,18014,66648,84662
101,18014,26180,44194
102,18014,140208,158222
103,18014,81221,99235
104,18014,56780,74794
105,18014,80390,98404
106,18014,22062,40076
107,18014,102018,120032
108,18014,75239,93253
109,18014,53337,71351
110,18014,36929,54943
111,18014,94186,112200
112,18014,70583,88597
113,18014,89857,107871
114,18014,124251,142265
115,18014,46097,64111
116,18014,71518,89532
117,18014,79324,97338
118,18014,52593,70607
119,18014,101502,119516
120,18014,50520,68534
121,18014,51168,69182
122,18014,137227,155241
123,18014,144015,162029
124,18014,134627,152641
125,18014,38414,56428
126,18014,66325,84339
127,18014,76051,94065
128,18014,83705,101719
129,18014,117472,135486
130,18014,70788,88802
131,18014,150812,168826
132,18014,102380,120394
133,18014,73339,91353
134,18014,101729,119743
135,18014,125059,143073
136,18014,104069,122083
137,18014,73356,91370
138,18014,43619,61633
139,18014,96969,114983
140,18014,64895,82909
141,18014,72276,90290
142,18014,100685,118699
143,18014,139370,157384
144,18014,18113,36127
145,18014,141314,159328
146,18014,91215,109229
147,18014,26593,44607
148,18014,68201,86215
149,393,1567,1960
150,18014,104138,122152
151,18014,148798,166812
152,18014,80488,98502
153,18014,78429,96443
154,18014,26605,44619
155,18014,81836,99850
156,18014,91231,109245
157,18014,80124,98138
158,18014,51716,69730
159,18014,46328,64342
160,18014,50743,68757
161,18014,37772,55786
162,18014,142386,160400
163,18014,88172,106186
164,18014,100191,118205
165,18014,90115,108129
166,18014,146461,164475
167,18014,27574,45588
168,18014,19048,37062
169,18014,95683,113697
170,18014,78927,96941
171,18014,141626,159640
172,18014,97557,115571
173,18014,119534,137548
174,18014,72139,90153
175,18014,51126,69140
176,18014,134007,152021
177,18014,98176,116190
178,18014,148795,166809
179,18014,47720,65734
180,18014,71962,89976
181,18014,18841,36855
182,18014,140690,158704
183,18014,78298,96312
184,18014,78237,96251
185,18014,94140,112154
186,18014,122522,140536
187,18014,57892,75906
188,18014,89666,107680
189,18014,75267,93281
190,18014,49149,67163
191,18014,134555,152569
192,18014,23683,41697
193,18014,97667,115681
194,18014,142681,160695
195,18014,24837,42851
196,18014,34892,52906
197,18014,143391,161405
198,18014,98788,116802
199,18014,96308,114322
200,18014,71187,89201
201,18014,71347,89361
202,18014,91517,109531
203,18014,82039,100053
204,18014,150989,169003
205,18014,111866,129880
206,18014,148876,166890
207,18014,66809,84823
208,18014,29771,47785
209,18014,90607,108621
210,18014,65420,83434
211,18014,153182,171196
212,18014,74962,92976
213,18014,75287,93301
214,18014,109121,127135
215,18014,142563,160577
216,18014,89958,107972
217,18014,69801,87815
218,18014,76161,94175
219,18014,35707,53721
220,18014,19099,37113
221,18014,101976,119990
222,18014,143149,161163
223,18014,151268,169282
224,18014,50535,68549
225,18014,71440,89454
226,18014,33079,51093
227,18014,79173,97187
228,18014,135754,153768
229,18014,85116,103130
230,18014,20412,38426
231,18014,102526,120540
232,18014,72499,90513
233,18014,95027,113041
234,18014,27711,45725
235,18014,146794,164808
236,18014,18301,36315
237,18014,89598,107612
238,18014,50652,68666
239,18014,78198,96212
240,18014,47257,65271
241,18014,21692,39706
242,18014,45362,63376
243,18014,41724,59738
244,18014,65813,83827
245,18014,102375,120389
246,18014,65831,83845
247,18014,143174,161188
248,18014,97346,115360
249,18014,50627,68641
250,18014,64941,82955
251,18014,149323,167337
252,18014,90345,108359
253,18014,77989,96003
254,18014,145815,163829
255,18014,153270,171284
256,18014,67653,85667
257,18014,75703,93717
258,18014,115795,133809
259,18014,73551,91565
260,18014,152895,170909
261,18014,104732,122746
262,18014,37501,55515
263,18014,28432,46446
264,18014,102643,120657
265,18014,28684,46698
266,18014,98513,116527
267,18014,60153,78167
268,18014,87045,105059
269,18014,86693,104707
270,18014,77023,95037
271,18014,123597,141611
272,18014,47713,65727
273,18014,142582,160596
274,18014,85659,103673
275,18014,58650,76664
276,18014,104588,122602
277,18014,22162,40176
278,18014,89656,107670
279,18014,82665,100679
280,18014,47589,65603
281,18014,96994,115008
282,18014,27375,45389
283,18014,42500,60514
284,18014,73479,91493
285,18014,81714,99728
286,18014,141569,159583
287,18014,75121,93135
288,18014,112038,130052
289,18014,78249,96263
290,18014,93485,111499
291,18014,140944,158958
292,18014,102536,120550
293,18014,141425,159439
294,18014,71602,89616
295,18014,147978,165992
296,18014,67647,85661
297,18014,84674,102688
298,18014,101355,119369
299,18014,147856,165870
300,18014,74397,92411
301,18014,78389,96403
302,18014,64547,82561
303,18014,121891,139905
304,18014,149461,167475
305,18014,78391,96405
