64, 112, 54, 0.000030254
128, 118, 97, 0.000061303
256, 127, 231, 0.000146723
512, 143, 327, 0.000379284
1024, 178, 871, 0.000857064
2048, 181, 1161, 0.001954246
4096, 237, 3711, 0.004481686
8192, 261, 6171, 0.006841485
16384, 275, 13255, 0.003995080
32768, 307, 26623, 0.008687790
65536, 339, 52527, 0.018355760
131072, 353, 106239, 0.038930529
262144, 442, 230631, 0.083128526
524288, 469, 511935, 0.173840355
1048576, 524, 837799, 0.366215538
2097152, 556, 1723519, 0.771366093
4194304, 596, 3732423, 1.611585440
8388608, 664, 6649279, 3.372340559
16777216, 704, 15733191, 7.735365170
33554432, 705, 31466382, 17.206806219
67108864, 949, 63728127, 35.803866253
134217728, 950, 127456254, 72.973450492
268435456, 956, 226588897, 134.439486926
